game,season,home_team,away_team,starting_min,outcome,home_players,away_players,player_removed
10652,8,17,16,25,-1,"[364, 595, 709, 1041]","[306, 369, 653, 708, 1001]",338
9167,7,3,9,0,-1,"[362, 542, 576, 712]","[40, 112, 376, 545, 612]",14
9240,7,11,9,0,1,"[304, 434, 530, 949]","[40, 112, 376, 545, 612]",786
4271,3,26,29,0,-1,"[29, 42, 641, 879]","[465, 588, 771, 922, 996]",953
9751,8,30,26,17,1,"[221, 568, 608, 969]","[111, 391, 563, 842, 971]",958
6488,5,26,16,21,-1,"[42, 546, 641, 967]","[306, 507, 630, 681, 901]",953
10212,8,11,12,43,1,"[434, 545, 786, 980]","[129, 289, 396, 645, 917]",304
1848,1,26,9,14,1,"[42, 463, 641, 953]","[455, 461, 821, 834, 850]",848
2357,1,14,7,35,-1,"[529, 600, 859, 882]","[273, 316, 335, 541, 997]",617
1851,1,10,19,37,1,"[55, 84, 738, 927]","[105, 460, 660, 891, 1010]",12
4829,3,29,28,35,-1,"[135, 292, 399, 771]","[114, 222, 496, 671, 864]",996
6839,5,30,18,38,-1,"[358, 431, 664, 927]","[67, 270, 406, 1019, 1021]",957
6212,5,29,20,30,-1,"[176, 407, 517, 996]","[135, 326, 380, 669, 980]",677
3101,2,17,29,11,-1,"[153, 347, 815, 997]","[98, 99, 107, 348, 465]",714
4147,3,34,24,10,1,"[36, 58, 365, 757]","[434, 584, 754, 868, 894]",287
7087,5,6,23,47,-1,"[289, 647, 663, 878]","[410, 540, 621, 932, 965]",771
2831,2,20,30,21,-1,"[245, 440, 823, 1000]","[125, 606, 664, 958, 969]",168
3363,2,29,12,22,-1,"[99, 292, 588, 922]","[453, 472, 688, 940, 989]",819
7704,6,11,13,25,-1,"[149, 434, 770, 790]","[96, 141, 246, 328, 1029]",483
332,0,12,23,9,-1,"[426, 487, 657, 927]","[240, 427, 449, 491, 928]",220
3537,2,25,17,46,-1,"[485, 668, 967, 997]","[152, 211, 501, 570, 660]",717
2852,2,19,16,16,-1,"[455, 537, 869, 1010]","[202, 306, 425, 670, 708]",594
2145,1,16,10,19,-1,"[670, 683, 837, 909]","[55, 130, 573, 738, 927]",169
10217,8,27,14,32,1,"[328, 369, 686, 780]","[312, 483, 531, 1019, 1021]",109
648,0,12,32,11,-1,"[220, 472, 487, 688]","[46, 159, 236, 511, 740]",233
2540,2,17,27,39,-1,"[50, 501, 815, 835]","[104, 369, 631, 640, 905]",642
4364,3,25,1,37,1,"[408, 466, 668, 694]","[315, 366, 796, 821, 966]",304
5878,4,30,9,45,-1,"[72, 360, 835, 969]","[80, 376, 834, 947, 974]",958
2741,2,17,3,26,1,"[50, 649, 660, 835]","[326, 363, 462, 827, 889]",714
8401,7,10,29,46,-1,"[581, 690, 749, 965]","[87, 384, 497, 642, 977]",767
10351,8,30,16,0,-1,"[77, 568, 958, 969]","[157, 159, 653, 681, 899]",221
2089,1,4,34,38,-1,"[162, 499, 624, 653]","[36, 71, 757, 768, 852]",85
2180,1,34,17,5,-1,"[36, 58, 71, 255]","[50, 153, 272, 714, 861]",229
8180,6,16,3,35,1,"[157, 630, 765, 825]","[128, 446, 469, 477, 576]",901
7065,5,26,12,40,-1,"[325, 546, 641, 953]","[220, 245, 360, 631, 992]",343
10738,8,15,34,42,1,"[413, 526, 601, 1010]","[108, 300, 591, 815, 823]",90
5710,4,26,30,44,-1,"[42, 325, 546, 641]","[72, 358, 664, 958, 969]",922
2856,2,27,8,37,-1,"[462, 631, 694, 847]","[60, 157, 410, 634, 751]",33
5718,4,20,4,36,-1,"[168, 238, 677, 1029]","[269, 653, 770, 857, 942]",463
8668,7,23,1,14,1,"[33, 398, 706, 781]","[191, 363, 604, 801, 1012]",410
9390,7,12,4,42,-1,"[343, 360, 645, 860]","[138, 196, 498, 499, 721]",794
6787,5,8,24,37,-1,"[12, 43, 157, 990]","[202, 434, 748, 754, 830]",864
1487,1,12,27,21,1,"[239, 426, 721, 910]","[33, 373, 631, 909, 931]",688
5122,4,12,6,0,1,"[220, 235, 542, 860]","[35, 64, 407, 511, 737]",721
3326,2,10,3,17,-1,"[63, 65, 130, 927]","[104, 196, 254, 813, 1013]",185
10811,8,1,32,43,1,"[110, 343, 402, 995]","[435, 523, 610, 641, 790]",676
3481,2,14,10,37,1,"[543, 651, 792, 882]","[109, 130, 185, 489, 669]",529
5902,4,6,24,16,-1,"[175, 407, 663, 878]","[183, 202, 331, 434, 754]",216
7314,6,12,30,34,-1,"[360, 794, 877, 992]","[104, 664, 695, 957, 969]",396
8205,6,28,2,15,-1,"[331, 407, 616, 1022]","[36, 130, 495, 604, 665]",758
8078,6,25,26,25,-1,"[78, 430, 762, 964]","[207, 343, 546, 922, 953]",702
5449,4,18,28,0,-1,"[231, 587, 649, 1021]","[43, 616, 671, 758, 1022]",708
6565,5,17,16,44,1,"[90, 520, 521, 626]","[317, 436, 562, 765, 901]",964
2737,2,6,12,45,-1,"[216, 232, 257, 407]","[115, 542, 860, 926, 940]",881
207,0,19,3,33,-1,"[69, 457, 750, 835]","[7, 696, 705, 827, 889]",460
10516,8,26,33,44,-1,"[401, 462, 642, 752]","[371, 849, 866, 981, 982]",842
6826,5,16,27,36,-1,"[436, 630, 765, 901]","[686, 714, 847, 892, 904]",1001
8190,6,33,26,45,1,"[20, 327, 481, 692]","[76, 151, 295, 343, 627]",311
1176,0,4,3,47,1,"[49, 162, 660, 952]","[17, 474, 827, 872, 1017]",728
3897,3,1,26,37,1,"[315, 688, 796, 814]","[42, 459, 803, 861, 1029]",821
7605,6,12,34,20,-1,"[196, 245, 619, 860]","[143, 171, 528, 751, 913]",794
8947,7,1,14,36,-1,"[110, 363, 496, 801]","[500, 577, 663, 845, 873]",574
10717,8,28,13,22,-1,"[78, 616, 758, 847]","[96, 168, 246, 408, 694]",206
60,0,17,11,0,1,"[153, 714, 737, 863]","[176, 812, 901, 974, 1035]",50
1026,0,26,3,0,1,"[848, 879, 935, 1029]","[7, 363, 696, 803, 827]",43
8439,7,16,13,38,1,"[157, 306, 765, 825]","[235, 246, 408, 427, 448]",901
3531,2,28,27,39,1,"[114, 509, 929, 977]","[19, 369, 448, 847, 937]",864
5796,4,6,26,17,-1,"[175, 216, 407, 663]","[325, 343, 546, 641, 922]",878
771,0,17,7,25,-1,"[50, 152, 338, 863]","[273, 286, 335, 464, 541]",737
2013,1,18,26,21,-1,"[194, 687, 819, 892]","[42, 43, 590, 829, 953]",14
9266,7,14,22,35,-1,"[577, 665, 845, 873]","[16, 63, 81, 330, 476]",1032
3995,3,20,29,44,-1,"[168, 245, 440, 677]","[49, 90, 580, 922, 996]",229
1038,0,17,9,17,1,"[241, 309, 338, 863]","[72, 139, 155, 461, 947]",152
9277,7,28,0,12,-1,"[132, 616, 707, 737]","[143, 260, 727, 798, 913]",295
2234,1,29,10,35,-1,"[107, 348, 588, 806]","[12, 84, 109, 573, 927]",731
5386,4,20,14,18,-1,"[245, 453, 669, 808]","[263, 617, 694, 792, 904]",326
8451,7,34,2,23,1,"[12, 108, 518, 980]","[48, 124, 264, 505, 585]",591
7077,5,28,33,17,1,"[194, 525, 646, 764]","[14, 20, 426, 481, 795]",387
4996,4,26,6,16,1,"[49, 229, 546, 967]","[35, 216, 468, 511, 815]",42
2414,1,29,28,24,-1,"[90, 348, 588, 731]","[150, 453, 810, 929, 977]",912
8482,7,15,32,10,1,"[601, 720, 947, 1040]","[249, 523, 610, 950, 992]",424
10168,8,29,7,31,1,"[87, 135, 250, 826]","[149, 276, 738, 835, 1000]",270
2554,2,16,19,17,-1,"[306, 681, 1001, 1034]","[537, 594, 979, 1010, 1037]",708
4353,3,9,15,13,-1,"[153, 461, 522, 947]","[387, 426, 666, 766, 865]",177
2921,2,16,6,13,-1,"[202, 507, 708, 1034]","[35, 216, 407, 737, 881]",670
2613,2,14,4,34,-1,"[543, 792, 882, 980]","[3, 85, 269, 653, 998]",529
42,0,31,14,17,-1,"[207, 311, 754, 825]","[51, 600, 617, 651, 915]",173
9734,8,15,9,43,1,"[90, 601, 666, 1010]","[112, 376, 522, 545, 612]",191
6700,5,30,8,10,1,"[358, 664, 695, 957]","[12, 43, 78, 157, 990]",221
4526,3,6,20,44,1,"[58, 257, 737, 905]","[235, 245, 326, 440, 677]",630
4974,4,8,7,21,-1,"[78, 155, 356, 912]","[141, 286, 460, 464, 1000]",140
297,0,31,10,8,-1,"[173, 207, 754, 820]","[55, 84, 694, 738, 989]",649
7649,6,12,16,37,1,"[196, 361, 794, 992]","[159, 630, 765, 825, 901]",396
6456,5,6,1,32,-1,"[35, 58, 743, 815]","[82, 110, 173, 717, 825]",30
4495,3,15,16,10,1,"[666, 679, 857, 865]","[202, 295, 507, 681, 708]",234
6365,5,6,4,0,-1,"[35, 58, 614, 771]","[130, 138, 499, 653, 834]",64
6166,5,14,33,18,1,"[542, 706, 792, 929]","[14, 268, 311, 541, 813]",600
3944,3,14,20,23,-1,"[51, 263, 600, 617]","[235, 245, 274, 326, 549]",792
1188,0,15,8,37,1,"[177, 203, 937, 943]","[29, 140, 318, 410, 671]",24
4257,3,28,17,12,1,"[470, 496, 616, 929]","[139, 383, 500, 606, 649]",864
10403,8,17,8,25,-1,"[364, 448, 496, 595]","[218, 430, 561, 579, 1031]",514
10826,8,26,16,44,1,"[391, 412, 479, 842]","[392, 433, 708, 994, 1042]",394
6899,5,29,30,9,1,"[250, 402, 677, 996]","[104, 358, 664, 927, 957]",465
7592,6,24,27,39,1,"[584, 588, 754, 952]","[448, 487, 686, 892, 904]",868
3849,3,7,30,31,1,"[300, 460, 464, 809]","[360, 695, 711, 835, 958]",286
7646,6,33,7,13,1,"[20, 311, 327, 371]","[286, 325, 420, 447, 851]",268
3483,2,9,13,7,1,"[78, 607, 947, 1025]","[15, 84, 330, 671, 1040]",72
4759,3,28,7,37,-1,"[496, 562, 616, 691]","[116, 141, 460, 464, 909]",864
6975,5,10,8,44,-1,"[115, 240, 599, 835]","[12, 43, 78, 184, 990]",745
70,0,27,7,42,-1,"[423, 436, 631, 909]","[273, 276, 286, 464, 495]",104
5746,4,17,8,36,1,"[50, 185, 309, 642]","[12, 140, 155, 157, 410]",517
3351,2,13,30,44,-1,"[15, 84, 349, 729]","[360, 399, 606, 695, 969]",246
6609,5,9,1,13,-1,"[85, 89, 207, 850]","[82, 379, 411, 594, 717]",522
2149,1,26,31,11,1,"[43, 463, 879, 953]","[207, 347, 513, 584, 649]",42
9990,8,5,33,31,-1,"[14, 358, 362, 576]","[371, 849, 866, 981, 982]",182
2986,2,30,13,37,1,"[360, 606, 664, 852]","[123, 330, 458, 680, 932]",399
7657,6,8,25,42,-1,"[42, 43, 184, 990]","[78, 408, 430, 542, 762]",579
1544,1,3,13,21,-1,"[326, 363, 696, 827]","[165, 185, 195, 213, 962]",803
6588,5,27,0,36,-1,"[668, 686, 714, 858]","[545, 597, 1013, 1029, 1041]",538
8615,7,9,26,16,1,"[112, 376, 522, 582]","[111, 343, 431, 709, 922]",850
1449,1,32,15,28,1,"[46, 64, 429, 535]","[212, 547, 725, 792, 865]",459
9439,7,17,14,10,1,"[113, 320, 514, 595]","[531, 581, 757, 845, 1032]",364
980,0,15,4,11,1,"[177, 628, 725, 943]","[11, 85, 162, 728, 998]",792
6146,4,29,14,7,1,"[348, 677, 879, 996]","[263, 600, 617, 706, 792]",465
10660,8,18,14,9,1,"[10, 154, 639, 1039]","[483, 527, 873, 944, 1021]",54
8734,7,15,14,36,-1,"[424, 521, 725, 753]","[757, 845, 910, 1021, 1032]",1040
6694,5,1,23,11,-1,"[173, 585, 796, 814]","[84, 398, 410, 449, 932]",717
